353.00,-4.06,11.38,-0.03,0.00,0.01,-0.10,-0.04,0.00,-17.06,-9.50,-2.75,-0.80,-1.97,9.57,-0.70,-1.93,9.58,
353.06,-0.06,-0.06,-0.00,0.01,-0.02,-0.11,-0.08,-0.04,-17.87,-9.19,-3.19,-0.82,-2.02,9.54,-0.71,-0.01,-0.01,
353.13,-4.06,11.38,-0.01,-0.01,0.00,-0.12,-0.02,0.00,-17.06,-10.69,-3.19,-0.83,-0.01,-0.01,-0.70,-1.93,9.58,
353.06,-4.06,11.50,-0.03,0.00,0.01,-0.12,-0.06,-0.02,-17.06,-10.25,-2.75,-0.81,-2.02,9.55,-0.70,-1.95,9.58,
353.13,-4.06,11.44,-0.02,-0.00,0.01,-0.15,-0.02,-0.04,-17.06,-9.88,-3.19,-0.85,-0.01,-0.01,-0.70,-0.01,-0.01,
353.13,-0.06,-0.06,0.01,0.01,-0.00,-0.10,-0.03,0.00,-18.19,-9.19,-4.25,-0.83,-1.96,9.59,-0.70,-1.95,9.58,
353.13,-4.13,11.50,-0.00,-0.00,-0.00,-0.13,-0.04,-0.02,-18.19,-9.56,-3.19,-0.84,-2.00,9.56,-0.71,-1.95,9.58,
353.13,-4.06,11.50,-0.01,0.01,0.00,-0.06,-0.05,-0.01,-17.50,-9.56,-3.50,-0.79,-2.02,9.56,-0.70,-1.95,9.58,
353.19,-0.06,-0.06,-0.01,0.03,-0.02,-0.16,-0.04,-0.04,-17.00,-8.75,-2.88,-0.89,-1.99,-0.01,-0.73,-0.01,-0.01,
353.19,-4.19,11.44,-0.01,-0.03,0.00,-0.11,-0.03,-0.03,-17.00,-9.56,-1.69,-0.88,-1.97,9.61,-0.72,-1.95,9.58,
